Age,EdLevel,Employment,Gender,YearsOfExperience,Status
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,5,1
22,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,0
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,NA,0
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,6,0
34,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,7,1
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,7,0
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,1
43,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Man,18,1
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,1
29,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,7,1
21,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,0
26,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,8,0
23,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,3,0
34,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,10,0
53,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,32,1
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,1
22,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Student,Man,NA,1
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,1,0
37,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,15,1
35,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Man,9,1
40,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,1
34,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,15,1
34,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,"Non-binary, genderqueer, or gender non-conforming",5,0
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,0
41,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,19,0
34,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,12,1
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,0
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,0
22,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,1,1
24,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,2,0
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,0
44,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,20,1
45,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,22,1
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,1
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,Less than 1 year,0
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,6,0
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,1
50,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,22,0
20,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,0
35,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,11,1
35,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,15,0
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,6,0
59,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,20,0
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,0
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,1
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,3,1
35,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,15,1
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,1
28,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,6,1
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,6,1
44,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,19,1
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,12,1
29,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,7,0
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,0
53,"Other doctoral degree (Ph.D., Ed.D., etc.)","Independent contractor, freelancer, or self-employed",Man,30,0
62,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,38,1
37,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,10,1
32,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,7,0
33,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,8,0
51,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Woman,5,1
44,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,15,0
22,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,1,0
32,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,6,0
21,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,0
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,0
32,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,5,0
43,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,24,1
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,0
39,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,1
40,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,15,1
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,1
45,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",Man,19,0
28,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,2,0
52,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,30,1
40,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,14,1
31,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,12,1
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,4,0
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,1
42,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,15,1
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,11,0
48,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,23,1
52,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,21,0
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,1
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,1,0
41,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,19,0
59,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Woman,30,0
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,8,0
46,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",Man,20,1
48,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,16,1
49.5,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,26,0
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,1
26,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Woman,2,0
48,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,25,1
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,1
37,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",Man,NA,0
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,9,0
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,1
37,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,15,0
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,6,0
39,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,1,1
35,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,11,0
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,1,0
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,6,1
33,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Man,2,0
46,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,10,0
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,0
34,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,7,1
27,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,4,0
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,0
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,Less than 1 year,0
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,0
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,1,0
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,1
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,6,0
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,7,0
36,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,15,0
40,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,23,1
23,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Student,Man,NA,1
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,7,0
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,7,0
37,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,16,0
36,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,5,0
33,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,7,1
40,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,20,1
29,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,9,1
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,1
38,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,6,0
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,0
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,9,1
43,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Woman,20,1
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,0
44,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,12,1
40,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,18,0
34,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,20,1
34,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,4,0
21,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,0
33,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,10,0
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,1
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,Less than 1 year,0
38,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,17,0
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,1
47,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,22,0
38,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,7,0
40,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,16,0
38,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,13,1
31,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,8,0
34,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,13,0
45,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,26,1
26,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,4,1
43,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,20,0
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,1
37,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,15,1
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,1
37,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,8,0
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,1,1
22,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,1
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,5,0
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,1
31,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,9,0
31,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,6,0
41,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,20,1
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,0
38,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,15,1
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,NA,0
22,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,Less than 1 year,1
35,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,12,1
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,1
37,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Man,3,1
42,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,20,0
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,0
43,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,20,0
22,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,1
25,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Woman,5,0
26,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Student,Man,NA,1
21,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,1
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,1
28,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Woman,4,1
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,0
41,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,14,1
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,6,1
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,3,0
31,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,7,0
60,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,40,1
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",Man,NA,0
33,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,1
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,1
46,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,16,1
49,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,27,0
34,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,13,0
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",Man,NA,1
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,0
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,1
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,0
32,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,8,1
40,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Woman,13,0
31,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,0
41,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,15,0
41,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,12,1
34,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,13,0
52,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,26,0
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,1,0
22,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,1
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,8,0
36,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Woman,1,0
30,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,10,1
31,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,8,0
22,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,0
34,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,14,0
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,6,0
27,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,Less than 1 year,0
35,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,1
36,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,18,0
34,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Man,3,1
31,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,0
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,7,1
